Model,Accuracy,Precision,Recall,F1 Score
decision_tree,0.8211382113821138,0.8247422680412371,0.9411764705882353,0.8791208791208791
logistic_regression,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082
random_forest,0.8373983739837398,0.8350515463917526,0.9529411764705882,0.8901098901098901
